tribunal,ano,cncf,cpcf,epif,epp,equipe,gp,mp,pbcf,pbef,scf,sepf,ve
TJ,19,2.003,4.982,1.216,5.164,"13,9",295,406.661,1.798,22.304,2.657,510,139
TJ,20,2.788,5.491,617,6.461,"11,5",233,368.997,1.642,2.284,2.016,244,138
TJAC,19,14,23,NA,NA,"5,0",2,1.474,13,NA,20,NA,2
TJAC,20,15,34,50,365,"5,0",1,2.070,10,19,32,27,1
TJAL,19,7,66,NA,NA,"2,0",2,472,6,NA,10,NA,2
TJAL,20,1,59,NA,NA,"5,0",1,600,12,NA,12,NA,1
TJAM,19,17,89,NA,15,"2,7",6,6.210,31,NA,24,NA,3
TJAM,20,14,91,NA,NA,"2,3",14,8.342,21,NA,18,NA,3
TJAP,19,19,22,NA,NA,"11,5",2,2.442,8,NA,21,NA,2
TJAP,20,29,46,40,1.137,"11,5",2,2.729,12,71,13,70,2
TJBA,19,47,58,NA,NA,"0,4",8,6.532,5,NA,12,NA,8
TJBA,20,48,116,NA,NA,"0,4",8,5.145,8,NA,7,NA,8
TJCE,19,84,228,NA,2,"6,0",2,14.401,44,NA,76,NA,2
TJCE,20,69,278,NA,2,"3,3",3,13.413,38,NA,69,NA,3
TJDFT,19,77,73,NA,58,"3,8",23,9.999,77,NA,91,3,16
TJDFT,20,28,48,NA,58,"3,6",20,8.012,44,NA,16,NA,16
TJES,19,36,81,29,16,"6,8",6,9.375,51,10,62,5,6
TJES,20,13,86,130,3,"4,7",6,6.528,20,6,9,11,6
TJGO,19,67,344,246,2.227,"6,3",20,15.287,36,12,118,3,9
TJGO,20,112,275,88,2,"2,7",20,16.021,85,310,114,26,9
TJMA,19,25,57,2,3,"11,3",3,11.455,7,NA,14,NA,3
TJMA,20,22,89,86,1.640,"10,7",3,12.533,3,31,1,25,3
TJMG,19,91,252,1,26,"116,8",23,32.005,136,1,119,NA,5
TJMG,20,57,224,NA,2,"134,5",39,32.908,94,25,111,NA,4
TJMS,19,96,178,9,3,"27,3",1,9.832,49,2,89,2,3
TJMS,20,67,184,143,2.015,"20,7",1,10.232,70,22,62,50,3
TJMT,19,110,292,10,81,"10,3",4,7.408,109,13,78,3,4
TJMT,20,368,NA,2,NA,"9,3",4,9.693,70,12,35,4,4
TJPA,19,27,85,1,6,"23,0",4,5.210,22,1,65,1,4
TJPA,20,19,153,2,4,"6,0",1,10.244,28,1,18,NA,4
TJPB,19,33,56,82,158,"11,5",3,4.591,26,1,23,1,2
TJPB,20,21,32,42,191,"11,0",3,4.592,116,8,16,5,2
TJPE,19,71,142,12,51,"3,5",8,14.749,22,3,28,1,10
TJPE,20,60,188,NA,50,"3,4",8,14.939,9,3,12,NA,10
TJPI,19,43,73,NA,1,"16,0",4,2.842,44,NA,23,NA,1
TJPI,20,36,64,NA,NA,"17,0",4,3.645,47,NA,19,NA,1
TJPR,19,171,416,28,115,"92,0",10,35.341,145,199,408,172,2
TJPR,20,211,605,5,154,"57,7",11,27.041,149,4,125,4,3
TJRJ,19,185,323,720,1.934,"26,2",113,29.946,41,22.019,149,300,11
TJRJ,20,95,477,NA,NA,"11,5",33,28.882,102,NA,97,NA,11
TJRN,19,18,29,NA,NA,"2,2",5,3.054,18,NA,17,NA,5
TJRN,20,15,45,NA,NA,"1,2",5,3.394,9,NA,6,NA,5
TJRO,19,37,44,NA,1,"133,0",2,3.940,23,15,29,NA,1
TJRO,20,34,57,NA,1,"131,0",2,5.381,19,1,11,2,1
TJRR,19,7,19,19,78,"8,0",4,1.688,6,7,7,2,2
TJRR,20,7,22,11,96,"8,0",4,1.596,6,13,8,2,2
TJRS,19,301,683,47,358,"1,8",11,47.180,239,15,511,14,9
TJRS,20,167,714,14,711,"4,8",11,34.058,191,12,275,15,9
TJSC,19,23,65,NA,2,"6,0",5,10.115,24,NA,36,NA,1
TJSC,20,99,149,NA,2,"10,0",5,379,66,NA,26,NA,1
TJSE,19,19,53,6,11,"45,0",9,730,20,1,26,1,1
TJSE,20,812,71,NA,8,"45,0",9,662,19,1.744,548,NA,1
TJSP,19,348,1.162,2,3,"4,6",14,117.788,564,NA,572,NA,22
TJSP,20,328,1.235,2,3,"5,1",14,103.267,363,2,334,3,22
TJTO,19,30,69,2,15,"0,7",1,2.595,32,5,29,2,3
TJTO,20,41,149,2,17,"0,7",1,2.691,31,NA,22,NA,3
